census_tract_number,Asian,Black_or_African_American,Hispanic_or_Latino,White,minority_population,n,census_tract_id,white_population,white_application_percentage,white_application_population_delta
68.02,0.06299212598425197,0.10236220472440945,0.031496062992125984,0.8031496062992126,48.97999954223633,127,006802,51.02000045776367,80.31496062992126,29.294960172157587
69,0,0.0784313725490196,0,0.9215686274509803,30.989999771118164,51,006900,69.01000022888184,92.15686274509804,23.146862516216203
70,0.05555555555555555,0.05555555555555555,0.027777777777777776,0.8611111111111112,33.86000061035156,36,007000,66.13999938964844,86.11111111111111,19.971111721462677
71,0.0963855421686747,0.08433734939759036,0.08433734939759036,0.7349397590361446,62.08000183105469,83,007100,37.91999816894531,73.49397590361446,35.57397773466914
72,0.1388888888888889,0.027777777777777776,0.027777777777777776,0.8055555555555556,34.58000183105469,36,007200,65.41999816894531,80.55555555555556,15.135557386610245
73.01,0,1,0,0,38.97999954223633,1,007301,61.02000045776367,0,-61.02000045776367
73.04,0.05747126436781609,0.7816091954022989,0.05747126436781609,0.10344827586206896,96.529998779296875,87,007304,3.470001220703125,10.344827586206897,6.874826365503772
74.01,0,0.6923076923076923,0,0.3076923076923077,99.80000305175781,13,007401,0.1999969482421875,30.76923076923077,30.569233820988583
74.03,0,0.8,0,0.2,98.7699966430664,10,007403,1.2300033569335938,20,18.769996643066406
74.04,0,0.6129032258064516,0.3225806451612903,0.06451612903225806,99.29000091552734,31,007404,0.70999908447265625,6.451612903225806,5.74161381875315
74.06,0.1111111111111111,0.5555555555555556,0.2222222222222222,0.1111111111111111,100,9,007406,0,11.11111111111111,11.11111111111111
74.07,0.03225806451612903,0.7419354838709677,0.021505376344086023,0.20430107526881722,99.160003662109375,93,007407,0.839996337890625,20.43010752688172,19.590111188991095
74.08,0,1,0,0,99.1500015258789,8,007408,0.84999847412109375,0,-0.84999847412109375
74.09,0,0.9428571428571428,0,0.05714285714285714,99.339996337890625,35,007409,0.660003662109375,5.714285714285714,5.054282052176339
75.02,0,0.8421052631578947,0.10526315789473684,0.05263157894736842,98.95999908447266,19,007502,1.0400009155273438,5.263157894736842,4.223156979209498
75.03,0,0.5675675675675675,0,0.43243243243243246,98.55000305175781,37,007503,1.4499969482421875,43.24324324324324,41.793246295001055
75.04,0.1,0.7333333333333333,0,0.16666666666666666,99.5,30,007504,0.5,16.666666666666664,16.166666666666664
76.01,0.07352941176470588,0.4852941176470588,0.014705882352941176,0.4264705882352941,97.75,68,007601,2.25,42.64705882352941,40.39705882352941
76.03,0.017857142857142856,0.75,0,0.23214285714285715,93.8499984741211,56,007603,6.150001525878906,23.214285714285715,17.06428418840681
76.04,0.03225806451612903,0.8064516129032258,0,0.16129032258064516,96.26000213623047,31,007604,3.7399978637695312,16.129032258064516,12.389034394294985
76.05,0,0.56,0,0.44,97.9800033569336,25,007605,2.0199966430664062,44,41.980003356933594
77.03,0,0.76,0.04,0.2,100,25,007703,0,20,20
77.07,0,0.7833333333333333,0.15,0.06666666666666667,100,60,007707,0,6.666666666666667,6.666666666666667
77.08,0,0.7647058823529411,0.058823529411764705,0.17647058823529413,100,17,007708,0,17.647058823529413,17.647058823529413
77.09,0.038461538461538464,0.6923076923076923,0.038461538461538464,0.23076923076923078,99.12000274658203,26,007709,0.87999725341796875,23.076923076923077,22.196925823505108
78.03,0,0.64,0.2,0.16,98.910003662109375,50,007803,1.089996337890625,16,14.910003662109375
78.04,0,0.6730769230769231,0.15384615384615385,0.17307692307692307,99.529998779296875,52,007804,0.470001220703125,17.307692307692307,16.83769108698918
78.06,0.1282051282051282,0.5128205128205128,0.10256410256410256,0.2564102564102564,97.26000213623047,39,007806,2.7399978637695312,25.64102564102564,22.901027777256107
78.07,0.047619047619047616,0.8095238095238095,0.09523809523809523,0.047619047619047616,99.95999908447266,21,007807,0.04000091552734375,4.761904761904762,4.721903846377418
78.08,0.015625,0.828125,0.125,0.03125,99.51000213623047,64,007808,0.48999786376953125,3.125,2.6350021362304688
78.09,0.01694915254237288,0.7966101694915254,0.06779661016949153,0.11864406779661017,97.61000061035156,59,007809,2.3899993896484375,11.864406779661017,9.47440739001258
79.01,0.10975609756097561,0.12195121951219512,0.04878048780487805,0.7195121951219512,81.19000244140625,82,007901,18.80999755859375,71.95121951219512,53.141221953601374
79.03,0,0.07317073170731707,0.024390243902439025,0.9024390243902439,83.01000213623047,41,007903,16.98999786376953,90.2439024390244,73.25390457525486
80.01,0.01639344262295082,0.09836065573770492,0.01639344262295082,0.8688524590163934,49.369998931884766,61,008001,50.630001068115234,86.88524590163934,36.2552448335241
80.02,0,0.0625,0.0375,0.9,40.88999938964844,80,008002,59.11000061035156,90,30.889999389648438
81,0.02702702702702703,0.04054054054054054,0.02702702702702703,0.9054054054054054,24.940000534057617,74,008100,75.05999946594238,90.54054054054053,15.48054107459815
82,0,0.045454545454545456,0,0.9545454545454546,18.229999542236328,44,008200,81.77000045776367,95.45454545454545,13.684544996781781
83.01,0.021739130434782608,0.043478260869565216,0,0.9347826086956522,26.559999465942383,46,008301,73.44000053405762,93.47826086956522,20.0382603355076
83.02,0.06060606060606061,0,0,0.9393939393939394,28.770000457763672,33,008302,71.22999954223633,93.93939393939394,22.70939439715761
84.02,0.125,0.15625,0.03125,0.6875,51.34000015258789,32,008402,48.65999984741211,68.75,20.09000015258789
84.1,0,0.0196078431372549,0.0784313725490196,0.9019607843137255,53.79999923706055,51,008410,46.20000076293945,90.19607843137256,43.9960776684331
87.01,0.04918032786885246,0.18032786885245902,0.03278688524590164,0.7377049180327869,69.44999694824219,61,008701,30.550003051757812,73.77049180327869,43.220488751520875
87.02,0.041666666666666664,0.14583333333333334,0.14583333333333334,0.6666666666666666,88.12999725341797,48,008702,11.870002746582031,66.66666666666666,54.796663920084626
88.02,0.13725490196078433,0.21568627450980393,0.049019607843137254,0.5980392156862745,83.01000213623047,102,008802,16.98999786376953,59.80392156862745,42.81392370485792
88.03,0.13333333333333333,0.4,0,0.4666666666666667,76.7699966430664,15,008803,23.230003356933594,46.666666666666664,23.43666330973307
88.04,0.038461538461538464,0.3333333333333333,0.07692307692307693,0.5512820512820513,91.8499984741211,78,008804,8.150001525878906,55.12820512820513,46.978203602326225
89.03,0.06060606060606061,0.42424242424242425,0,0.5151515151515151,93.970001220703125,33,008903,6.029998779296875,51.515151515151516,45.48515273585464
89.04,0.15,0.25,0,0.6,95.339996337890625,20,008904,4.660003662109375,60,55.339996337890625
90,0.03,0.66,0.11,0.2,97.08000183105469,100,009000,2.9199981689453125,20,17.080001831054688
91.02,0.018518518518518517,0.35185185185185186,0.07407407407407407,0.5555555555555556,92.94999694824219,54,009102,7.0500030517578125,55.55555555555556,48.505552503797745
92.01,0.058823529411764705,0.1568627450980392,0,0.7843137254901961,65.68000030517578,51,009201,34.31999969482422,78.43137254901961,44.111372854195395
92.03,0.09090909090909091,0.12121212121212122,0.030303030303030304,0.7575757575757576,84.30000305175781,33,009203,15.699996948242188,75.75757575757575,60.05757880933356
92.04,0.11627906976744186,0.06976744186046512,0.06976744186046512,0.7441860465116279,90.660003662109375,43,009204,9.339996337890625,74.4186046511628,65.07860831327217
93.01,0.0392156862745098,0.058823529411764705,0.058823529411764705,0.8431372549019608,64.94999694824219,51,009301,35.05000305175781,84.31372549019608,49.263722438438265
93.02,0.0975609756097561,0.07317073170731707,0.024390243902439025,0.8048780487804879,79.87000274658203,41,009302,20.12999725341797,80.48780487804879,60.35780762463082
94,0.016666666666666666,0.2833333333333333,0,0.7,86.25,60,009400,13.75,70,56.25
95.01,0.16666666666666666,0.4444444444444444,0.1111111111111111,0.2777777777777778,77.0199966430664,18,009501,22.980003356933594,27.77777777777778,4.797774420844185
95.03,0.06349206349206349,0.3333333333333333,0.12698412698412698,0.47619047619047616,77.470001220703125,63,009503,22.529998779296875,47.61904761904761,25.08904883975074
95.04,0.04225352112676056,0.11267605633802817,0.056338028169014086,0.7887323943661971,78.94000244140625,71,009504,21.05999755859375,78.87323943661971,57.81324187802596
95.05,0.07142857142857142,0.39285714285714285,0.03571428571428571,0.5,94.37000274658203,56,009505,5.629997253417969,50,44.37000274658203
95.07,0.04,0.24,0.2,0.52,99.0199966430664,25,009507,0.98000335693359375,52,51.019996643066406
95.08,0.1724137931034483,0.3793103448275862,0,0.4482758620689655,90.55000305175781,29,009508,9.4499969482421875,44.827586206896555,35.37758925865437
95.09,0.017543859649122806,0.24561403508771928,0.08771929824561403,0.6491228070175439,97.19000244140625,57,009509,2.80999755859375,64.91228070175438,62.10228314316063
96.01,0,0.9375,0,0.0625,99.81999969482422,16,009601,0.18000030517578125,6.25,6.069999694824219
